match_id,league,home_team,away_team,score,asian_handicap_db,high_water_db,low_water_db,odds_home_db,odds_draw_db,odds_away_db,ou_handicap_db,over_water_db,under_water_db
8314a2ecddc1,意甲,萨索洛,国际米兰,1-0,受一球/球半,0.95,0.95,6.0,4.5,1.5,3,1.03,0.87
892bdb5ce57a,英超,布伦特福德,伯恩利,3-0,半球/一球,1.07,0.83,1.8,3.6,4.5,2.5,0.89,1.01
46a623b96b77,法甲,蒙彼利埃,布雷斯特,1-3,平手/半球,0.94,0.96,2.25,3.3,3.25,2.5,0.94,0.96
1948df70e67c,德甲,RB莱比锡,海登海姆,2-1,球半/两球,0.83,1.07,1.2,7.5,12.0,3.5,0.93,0.97
8ef635e31c8e,欧冠,塞尔维特,格拉斯哥流浪者,1-1,受平手/半球,1.0,0.85,3.0,3.8,2.1,2.5,0.93,0.93
ce30c75c42e9,法甲,圣埃蒂安,昂热,3-3,平手/半球,1.07,0.83,2.45,3.4,2.87,2.5,1.06,0.84
59fac5be4efd,英超,埃弗顿,曼彻斯特城,0-1,受球半,1.09,0.81,12.0,6.0,1.25,3,0.95,0.95
6752e08c22ee,德甲,法兰克福,柏林联合,2-1,平手/半球,0.92,0.98,2.3,3.3,3.2,2.5/3,1.05,0.85
05c0a1686d51,意甲,国际米兰,克雷莫纳,3-1,两球/两球半,0.95,0.95,1.17,7.0,17.0,3.5,1.0,0.9
54b7789917c2,德甲,比勒费尔德,RB莱比锡,1-1,受球半/两球,0.9,1.0,8.5,5.0,1.33,3/3.5,0.9,1.0
0a5170d01c13,法甲,斯特拉斯堡,里昂,1-1,平手,0.91,0.99,2.45,3.4,2.88,2.5,0.91,0.99
6a5d8fa4ba96,德甲,法兰克福,波鸿,1-1,一球,1.04,0.86,1.53,4.2,6.0,2.5/3,1.03,0.87
010abc5a0e90,西甲,皇家社会,巴塞罗那,1-4,受平手/半球,1.04,0.86,3.6,3.5,2.05,2.5/3,0.98,0.92
a3b00ff95444,欧冠,拜仁慕尼黑,巴黎圣日耳曼,1-0,一球,1.04,0.86,1.57,4.33,5.25,3/3.5,0.91,0.99
4890634e2377,法甲,里尔,梅斯,2-0,球半,1.06,0.84,1.4,4.5,8.5,2.5/3,0.95,0.95
18fe1d51bad1,欧罗巴,马尔默,特温特,2-3,平手,1.09,0.81,2.88,3.3,2.5,2.5/3,1.0,0.9
6e5311aaa18d,欧罗巴,贝尔格莱德红星,卢多戈雷茨,1-0,一球/球半,0.9,0.95,1.33,5.0,9.5,2.5/3,0.98,0.88
f64a2bf8e99b,英超,狼队,纽卡斯尔联,2-1,半球,0.68,1.3,1.7,3.75,5.0,2/2.5,0.71,1.23
10575a1e2f32,西甲,马德里竞技,瓦伦西亚,3-0,一球/球半,0.85,1.05,1.33,4.5,9.5,2.5,0.91,0.91
71fb247910a6,德甲,比勒费尔德,波鸿,2-0,平手/半球,1.05,0.85,2.2,3.4,3.2,2.5,0.95,0.95
a701692c7474,意甲,都灵,佛罗伦萨,0-1,平手,0.95,0.95,3.7,3.2,2.15,2/2.5,0.86,1.04
9d6a9885dde8,法甲,特鲁瓦,摩纳哥,1-2,受半球/一球,0.95,0.95,5.0,3.75,1.7,2.5,0.85,1.0
856451c0f61a,英超,埃弗顿,切尔西,2-0,受平手/半球,1.09,0.81,2.5,3.5,2.75,2.5,1.0,1.0
cdeadedd76b5,德甲,多特蒙德,达姆施塔特,4-0,两球,0.93,0.97,1.13,9.0,17.0,3.5,0.8,1.0
c0f0029b0c89,欧冠,尤文图斯,圣彼得堡泽尼特,4-2,一球/球半,1.07,0.83,1.5,4.2,6.5,2.5,0.89,1.01
99bada288a19,欧冠,纽卡斯尔联,多特蒙德,0-1,半球/一球,0.94,0.96,1.55,4.33,5.5,2.5/3,0.93,0.97
1c82107f06a9,法甲,巴黎圣日耳曼,摩纳哥,1-1,球半,1.01,0.89,1.25,7.0,10.0,3/3.5,0.85,1.05
1d3bec0430da,欧冠,明斯克迪纳摩,卢多戈雷茨,1-0,受半球,0.98,0.88,4.0,3.7,1.83,2.5,0.8,1.0
6e06e38af9bb,意甲,佛罗伦萨,都灵,1-0,半球,1.04,0.86,2.15,3.1,3.8,2/2.5,0.95,0.95
db3cd3736709,意甲,博洛尼亚,莱切,1-0,半球/一球,1.04,0.86,1.7,3.4,5.75,2/2.5,0.98,0.92
74fd2f0c36a3,意甲,莱切,恩波利,1-1,平手/半球,1.17,0.75,2.2,3.4,3.2,2.5/3,1.05,0.85
400b1aa25443,意甲,乌迪内斯,维罗纳,1-1,平手/半球,1.07,0.83,2.4,3.1,3.2,2.5,1.02,0.88
1abd5aad2137,西甲,赫罗纳,埃尔切,2-0,半球/一球,0.79,1.11,1.45,4.75,6.5,2.5,0.92,0.98
b919e4e1a50c,英超,利物浦,切尔西,1-1,平手/半球,1.06,0.84,2.45,3.3,2.9,2.5,1.05,0.85
1abdc780dd2e,法甲,布雷斯特,欧塞尔,1-0,半球,1.06,0.84,1.91,3.3,4.33,2/2.5,0.83,1.07
73dc9d4a27fd,法甲,朗斯,洛里昂,2-2,半球,0.98,0.92,1.6,3.8,6.0,2.5,1.03,0.83
e4e131457b34,意甲,萨索洛,罗马,1-1,受半球,0.94,0.96,3.25,3.6,2.15,2.5/3,0.91,0.99
29629fee0ef4,欧冠,RB莱比锡,伯尔尼年轻人,2-1,球半,0.95,0.95,1.25,6.0,9.5,3/3.5,0.88,1.02
701e1546871e,欧冠,皇家马德里,那不勒斯,4-2,半球/一球,0.84,1.06,1.7,4.33,4.33,2.5/3,0.88,1.02
5dcf8304ae87,欧罗巴,卢多戈雷茨,阿斯塔纳,5-1,一球,0.95,0.85,1.4,5.0,6.5,2.5,0.9,0.9
474ef02cba59,欧冠,多特蒙德,切尔西,1-0,平手,0.89,1.01,2.3,3.4,3.1,2.5/3,1.02,0.88
911aac55b480,法甲,布雷斯特,蒙彼利埃,2-0,半球,0.84,1.06,1.8,3.75,4.5,2.5,0.95,0.95
6fa0b42d43ac,英超,狼队,托特纳姆热刺,4-2,平手,0.83,1.07,2.25,3.5,3.0,3,1.07,0.83
9af6f6d390ec,英超,狼队,阿斯顿维拉,2-1,平手,1.01,0.89,3.0,3.1,2.5,2/2.5,1.01,0.89
cd83f55a5189,西甲,毕尔巴鄂竞技,阿拉维斯,1-0,半球,0.82,1.08,2.05,2.9,4.33,2,0.89,1.01
75fd3ddbc8db,法甲,欧塞尔,雷恩,0-0,受半球,0.97,0.93,3.8,3.25,2.05,2.5,1.07,0.83
a3291727caf1,法甲,里昂,兰斯,1-2,一球/球半,1.02,0.88,1.45,4.5,6.5,3,1.03,0.83
80875b3177db,欧冠,曼彻斯特城,RB莱比锡,3-2,球半,0.95,0.95,1.3,5.75,9.5,3/3.5,1.02,0.88
051cdbce1721,欧冠,波尔图,安特卫普,2-0,一球/球半,1.01,0.89,1.28,5.25,11.0,2.5/3,0.99,0.91
950a6f6f296d,意甲,莱切,国际米兰,0-4,受球半,0.85,1.05,10.0,5.0,1.33,2.5/3,0.85,1.05
4f9e8264d222,意甲,斯佩齐亚,萨勒尼塔纳,2-1,半球,0.98,0.92,2.05,3.4,3.6,2.5,0.88,1.02
a3975b113281,西甲,巴塞罗那,马略卡,1-0,两球,1.06,0.84,1.28,5.5,10.0,3/3.5,0.95,0.95
85ea241455b6,意甲,拉齐奥,都灵,1-1,半球/一球,0.84,1.06,1.62,4.0,5.25,2.5,0.95,0.95
5986caf1c1f3,西甲,巴利亚多利德,皇家贝蒂斯,1-0,受半球,1.04,0.86,4.75,3.6,1.72,2.5,1.02,0.88
403f24f39edc,欧冠,沙姆洛克流浪者,卢多戈雷茨,2-1,受平手/半球,0.88,0.98,3.2,3.2,2.15,2/2.5,0.83,1.03
e9ab5e69b6bf,意甲,亚特兰大,佛罗伦萨,N/A,半球,0.9,1.0,1.6,4.33,5.0,2.5/3,1.0,0.9
6b43ea534362,法甲,梅斯,波尔多,3-3,平手,0.82,1.08,2.25,3.3,3.25,2.5,1.0,0.85
b4e09e9c193b,意甲,威尼斯,都灵,0-1,受半球,0.95,0.95,3.25,3.3,2.2,2.5,1.04,0.86
d68183cc2f40,法甲,雷恩,梅斯,6-1,一球/球半,0.85,1.05,1.25,5.75,13.0,2.5,0.97,0.93
3093bfc21b40,西甲,阿拉维斯,塞维利亚,0-0,受半球,1.03,0.87,4.5,3.1,1.95,2/2.5,1.01,0.89
cacd6f96245f,欧罗巴,马赛,加拉塔萨雷,0-0,半球,0.8,1.05,1.62,4.0,5.5,2.5,0.85,1.0
a5d2d8cb253d,西甲,比利亚雷亚尔,莱万特,5-0,一球/球半,1.05,0.85,1.36,5.25,7.5,2.5/3,0.85,1.05
686d25a6ff22,西甲,瓦伦西亚,西班牙人,1-1,半球/一球,0.99,0.91,1.95,3.3,4.1,2/2.5,1.0,0.9
136868166752,西甲,瓦伦西亚,皇家贝蒂斯,4-2,平手,1.02,0.88,2.5,3.0,3.2,2,0.88,1.02
62f88cfb7c3d,法甲,朗斯,斯特拉斯堡,0-2,半球/一球,0.87,1.03,1.83,3.7,4.1,2.5/3,1.03,0.87
db21c33de23b,西甲,阿拉维斯,奥萨苏纳,0-2,受平手/半球,0.79,1.11,3.4,3.0,2.35,2,0.91,0.99
8e6fb8a273d0,法甲,布雷斯特,昂热,4-0,半球,1.14,0.77,2.15,3.3,3.5,2/2.5,0.82,1.08
35d1c2f64c2a,德甲,云达不来梅,勒沃库森,2-3,受平手/半球,0.97,0.93,3.5,3.5,2.05,3,1.0,0.9
6c0e145e5e37,西甲,马德里竞技,巴伦西亚,3-2,一球,0.85,1.05,1.4,4.5,8.5,2.5,1.03,0.87
febcbc464342,德甲,多特蒙德,云达不来梅,2-3,球半,1.01,0.89,1.4,5.0,7.0,3.5,0.96,0.94
37d064438c1c,德甲,霍芬海姆,多特蒙德,1-3,受半球,0.84,1.06,3.1,4.0,2.1,3/3.5,0.85,1.05
dc2ab6fc7f37,法甲,克莱蒙特,雷恩,2-1,受平手/半球,1.11,0.79,4.33,3.8,1.8,2.5,0.98,0.92
4426a0208840,意甲,博洛尼亚,尤文图斯,1-1,平手/半球,1.09,0.81,2.25,3.0,3.5,2/2.5,1.08,0.82
dd37eac929ca,意甲,恩波利,萨索洛,3-4,受平手/半球,0.81,1.09,2.62,3.5,2.6,2.5/3,0.88,1.02
f6a779b57bb9,欧罗巴,曼彻斯特联,皇家社会,4-1,半球,0.86,1.04,1.95,3.4,4.1,2/2.5,0.97,0.93
fff16e064a7a,意甲,博洛尼亚,蒙扎,0-1,平手/半球,0.93,0.97,2.3,3.1,3.3,2/2.5,0.94,0.96
169051431be6,西甲,维戈塞尔塔,皇家社会,1-2,平手,0.77,1.14,2.37,3.1,3.25,2/2.5,0.98,0.92
51ed626146eb,欧冠,比尔森胜利,赫尔辛基,5-0,一球/球半,1.03,0.83,1.5,4.2,6.0,2.5,0.9,0.95
86d3b98bcd40,德甲,法兰克福,弗赖堡,0-0,半球,1.03,0.87,2.2,3.4,3.2,2.5/3,0.97,0.93
5cba1b40c9bf,欧罗巴,阿贾克斯,拉齐奥,1-3,平手/半球,0.93,0.97,2.2,3.6,3.1,2.5/3,0.85,1.05
eb35098080f7,德甲,柏林联合,RB莱比锡,2-1,受半球,1.02,0.88,3.6,3.5,2.0,2.5/3,0.99,0.91
